Country_Name,fertility,W15_to_44,gdp,Alcohol_Cons,pml,Guaranteed,unem,Density,urbanization,Mean_BMI_women,Mean_BMI_men,Access_Degree,Social_Support,Freedom_of_choices,Age_at_1st_Child,Divorce_Percent
Burundi,5.41,43.7289269,271.7520444,7.5,1,0,1.427000046,435.178271,13.032,21.60407468,21.85867709,2,0.447,0.22,,
Belgium,1.62,36.3708287,47472.13673,12.1,3,1,5.589000225,377.5844122,98.001,25.74971353,26.8013405,4,1.504,0.473,29,53.85
Benin,4.836,43.48953282,1240.829464,3,2,1,2.232000113,101.8539198,47.312,24.57959394,22.66670723,2,0.437,0.349,,
Burkina Faso,5.189,42.97170616,715.122904,8.2,2,1,6.263999939,72.19128289,29.358,22.1477769,22.25253512,2,1.056,0.255,,
Bangladesh,2.036,51.09054882,1698.262802,0,2,0,4.190000057,1239.579312,36.632,22.05260608,21.40108169,1,0.928,0.527,18.5,
Bulgaria,1.56,34.5834709,9271.545633,12.7,4,1,4.340000153,64.71109985,75.008,25.93015482,27.32226907,4,1.513,0.311,27.1,39.47
Bahrain,1.987,53.52099344,24050.75751,1.9,1,0,0.713999987,2017.2737,89.287,24.79195613,24.895558,1,1.368,0.536,,
Bahamas,1.752,46.20927524,32217.87159,4.4,1,1,10.35999966,38.52547453,83.025,29.0596084,27.28640266,2,,,,16.39
Bosnia and Herzegovina,1.265,37.51753114,6065.672708,6.4,4,1,18.42499924,64.92048828,48.245,25.34013918,26.53071356,4,1.212,0.212,27.3,12.5
Belarus,1.448,36.99841381,6330.075246,11.2,4,1,4.59499979,46.71950379,78.595,26.91237453,26.629948,4,1.465,0.235,26.5,44.57
Belize,2.307,50.31023597,4884.742421,6.8,2,0,6.413000107,16.79399386,45.724,30.75287977,27.63242364,3,,,,
Bermuda,1.6,45.69773232,85748.06541,6.814136378,1,1,7,1184.685164,100,29.42757663,27.73477278,2,,,,25.47
Bolivia,2.73,46.48984011,3548.59014,4.8,1,1,3.497999907,10.48014585,69.425,27.92672885,25.42187349,2,1.209,0.511,22,
Brazil,1.73,46.97825735,9001.234249,7.8,2,1,12.08300018,25.06171624,86.569,27.03856248,26.47157714,1,1.439,0.39,22,21.21
Barbados,1.619,38.45457921,17949.28151,9.6,1,1,10.33100033,666.6069767,31.147,29.41101997,26.51546778,3,,,,
